"survived","pclass","sex","age","sibsp","parch","fare","embarked","class","who","adult_male","deck","embark_town","alive","alone"
"1","1","female","38","1","0","71.2833","C","First","woman","0","C","Cherbourg","yes","0"
"1","1","female","35","1","0","53.1","S","First","woman","0","C","Southampton","yes","0"
"0","1","male","54","0","0","51.8625","S","First","man","1","E","Southampton","no","1"
"1","1","female","58","0","0","26.55","S","First","woman","0","C","Southampton","yes","1"
"1","2","male","34","0","0","13","S","Second","man","1","D","Southampton","yes","1"
"1","1","male","28","0","0","35.5","S","First","man","1","A","Southampton","yes","1"
"1","1","female","49","1","0","76.7292","C","First","woman","0","D","Cherbourg","yes","0"
"0","1","male","45","1","0","83.475","S","First","man","1","C","Southampton","no","0"
"1","2","female","29","0","0","10.5","S","Second","woman","0","F","Southampton","yes","1"
"0","3","male","25","0","0","7.65","S","Third","man","1","F","Southampton","no","1"
"0","1","male","46","1","0","61.175","S","First","man","1","E","Southampton","no","0"
"0","1","male","71","0","0","34.6542","C","First","man","1","A","Cherbourg","no","1"
"0","1","male","47","0","0","52","S","First","man","1","C","Southampton","no","1"
"1","2","female","32.5","0","0","13","S","Second","woman","0","E","Southampton","yes","1"
"0","1","male","37","1","0","53.1","S","First","man","1","C","Southampton","no","0"
"0","1","male","24","0","0","79.2","C","First","man","1","B","Cherbourg","no","1"
"1","1","female","22","1","0","66.6","S","First","woman","0","C","Southampton","yes","0"
"0","1","male","61","0","0","33.5","S","First","man","1","B","Southampton","no","1"
"0","1","male","56","0","0","30.6958","C","First","man","1","A","Cherbourg","no","1"
"0","1","female","50","0","0","28.7125","C","First","woman","0","C","Cherbourg","no","1"
"1","1","female","44","0","0","27.7208","C","First","woman","0","B","Cherbourg","yes","1"
"1","1","female","58","0","0","146.521","C","First","woman","0","B","Cherbourg","yes","1"
"1","1","male","40","0","0","31","C","First","man","1","A","Cherbourg","yes","1"
"1","1","female","31","1","0","113.275","C","First","woman","0","D","Cherbourg","yes","0"
"1","1","female","32","0","0","76.2917","C","First","woman","0","D","Cherbourg","yes","1"
"1","1","male","38","1","0","90","S","First","man","1","C","Southampton","yes","0"
"1","1","female","35","1","0","83.475","S","First","woman","0","C","Southampton","yes","0"
"0","1","male","44","2","0","90","Q","First","man","1","C","Queenstown","no","0"
"0","1","male","62","0","0","26.55","S","First","man","1","C","Southampton","no","1"
"1","1","female","30","0","0","86.5","S","First","woman","0","B","Southampton","yes","1"
"0","1","male","40","0","0","0","S","First","man","1","B","Southampton","no","1"
"1","1","female","35","0","0","135.633","S","First","woman","0","C","Southampton","yes","1"
"1","1","female","63","1","0","77.9583","S","First","woman","0","D","Southampton","yes","0"
"1","1","female","19","1","0","91.0792","C","First","woman","0","B","Cherbourg","yes","0"
"0","2","male","36","0","0","12.875","C","Second","man","1","D","Cherbourg","no","1"
"1","1","female","17","1","0","108.9","C","First","woman","0","C","Cherbourg","yes","0"
"1","1","female","30","0","0","56.9292","C","First","woman","0","E","Cherbourg","yes","1"
"1","1","female","24","0","0","83.1583","C","First","woman","0","C","Cherbourg","yes","1"
"1","1","female","36","0","0","135.633","C","First","woman","0","C","Cherbourg","yes","1"
"1","2","female","36","0","0","13","S","Second","woman","0","D","Southampton","yes","1"
"0","1","male","45.5","0","0","28.5","S","First","man","1","C","Southampton","no","1"
"0","1","male","29","1","0","66.6","S","First","man","1","C","Southampton","no","0"
"1","1","female","41","0","0","134.5","C","First","woman","0","E","Cherbourg","yes","1"
"1","2","female","24","0","0","13","S","Second","woman","0","F","Southampton","yes","1"
"1","1","female","60","1","0","75.25","C","First","woman","0","D","Cherbourg","yes","0"
"1","1","female","24","0","0","69.3","C","First","woman","0","B","Cherbourg","yes","1"
"1","1","male","25","1","0","55.4417","C","First","man","1","E","Cherbourg","yes","0"
"1","1","female","23","1","0","113.275","C","First","woman","0","D","Cherbourg","yes","0"
"1","1","female","33","1","0","90","Q","First","woman","0","C","Queenstown","yes","0"
"1","3","male","32","0","0","8.05","S","Third","man","1","E","Southampton","yes","1"
"1","1","male","28","0","0","26.55","S","First","man","1","C","Southampton","yes","1"
"0","1","male","50","1","0","55.9","S","First","man","1","E","Southampton","no","0"
"1","1","male","52","0","0","30.5","S","First","man","1","C","Southampton","yes","1"
"0","1","male","30","0","0","27.75","C","First","man","1","C","Cherbourg","no","1"
"1","1","male","49","1","0","89.1042","C","First","man","1","C","Cherbourg","yes","0"
"0","1","male","65","0","0","26.55","S","First","man","1","E","Southampton","no","1"
"1","1","male","48","0","0","26.55","S","First","man","1","E","Southampton","yes","1"
"0","1","male","47","0","0","38.5","S","First","man","1","E","Southampton","no","1"
"1","2","female","23","0","0","13.7917","C","Second","woman","0","D","Cherbourg","yes","1"
"1","1","male","25","1","0","91.0792","C","First","man","1","B","Cherbourg","yes","0"
"1","1","female","35","1","0","90","S","First","woman","0","C","Southampton","yes","0"
"0","1","male","58","0","0","29.7","C","First","man","1","B","Cherbourg","no","1"
"0","1","male","55","0","0","30.5","S","First","man","1","C","Southampton","no","1"
"1","1","female","54","1","0","78.2667","C","First","woman","0","D","Cherbourg","yes","0"
"1","1","female","16","0","0","86.5","S","First","woman","0","B","Southampton","yes","1"
"0","1","male","18","1","0","108.9","C","First","man","1","C","Cherbourg","no","0"
"1","1","male","36","0","0","26.2875","S","First","man","1","E","Southampton","yes","1"
"0","1","male","47","0","0","34.0208","S","First","man","1","D","Southampton","no","1"
"1","2","female","34","0","0","10.5","S","Second","woman","0","F","Southampton","yes","1"
"1","1","female","30","0","0","93.5","S","First","woman","0","B","Southampton","yes","1"
"0","1","male","45","0","0","26.55","S","First","man","1","B","Southampton","no","1"
"0","1","male","50","1","0","106.425","C","First","man","1","C","Cherbourg","no","0"
"1","1","female","48","1","0","39.6","C","First","woman","0","A","Cherbourg","yes","0"
"1","1","female","53","2","0","51.4792","S","First","woman","0","C","Southampton","yes","0"
"1","1","male","36","0","0","26.3875","S","First","man","1","E","Southampton","yes","1"
"1","1","female","39","1","0","55.9","S","First","woman","0","E","Southampton","yes","0"
"0","1","male","36","0","0","40.125","C","First","man","1","A","Cherbourg","no","1"
"1","1","female","52","1","0","78.2667","C","First","woman","0","D","Cherbourg","yes","0"
"1","1","male","49","1","0","56.9292","C","First","man","1","A","Cherbourg","yes","0"
"1","1","female","40","0","0","153.462","S","First","woman","0","C","Southampton","yes","1"
"1","1","male","42","1","0","52.5542","S","First","man","1","D","Southampton","yes","0"
"0","1","male","61","0","0","32.3208","S","First","man","1","D","Southampton","no","1"
"1","1","female","21","0","0","77.9583","S","First","woman","0","D","Southampton","yes","1"
"1","1","male","80","0","0","30","S","First","man","1","A","Southampton","yes","1"
"1","1","male","32","0","0","30.5","C","First","man","1","B","Cherbourg","yes","1"
"1","1","female","24","0","0","69.3","C","First","woman","0","B","Cherbourg","yes","1"
"1","1","male","48","1","0","76.7292","C","First","man","1","D","Cherbourg","yes","0"
"1","1","male","56","0","0","35.5","C","First","man","1","A","Cherbourg","yes","1"
"0","1","male","47","0","0","25.5875","S","First","man","1","E","Southampton","no","1"
"0","1","male","31","1","0","52","S","First","man","1","B","Southampton","no","0"
"1","1","male","27","0","0","76.7292","C","First","man","1","D","Cherbourg","yes","1"
"1","1","male","31","1","0","57","S","First","man","1","B","Southampton","yes","0"
"0","3","male","42","0","0","7.65","S","Third","man","1","F","Southampton","no","1"
"1","1","female","18","1","0","227.525","C","First","woman","0","C","Cherbourg","yes","0"
"1","1","male","35","0","0","26.2875","S","First","man","1","E","Southampton","yes","1"
"1","1","male","42","0","0","26.2875","S","First","man","1","E","Southampton","yes","1"
